review,rating,summary
"Hello everyone! I recently had the chance to visit Shanghai Disneyland on October 17, 2024. I arrived at the park at 10:30 a.m. and stayed until the fireworks ended. I spent the day capturing photos, watching shows, and enjoying the rides. Follow along for the details!PreparationBefore heading to the park, I downloaded the Shanghai Disney Resort app, which offers options to purchase tickets, Early Park Entry Pass, Disney Premier Access, Disney PhotoPass One Day Pass, and Personalized Magical Photo Session, with payments accepted via Alipay, WeChat Pay, and international cards.I discovered the Personalized Magical Photo Session on the app, which appealed to me as a photography enthusiast. I wanted beautiful photos to post on social media, so I booked a session (bookings must be made at least one day in advance). The cost was ¥700, but due to issues with my travel card, I had to pay via Alipay with a 3% surcharge, totaling ¥721. The private photographer follows you for 90 minutes, with a maximum of six people per session.In addition to this, there’s also the Disney PhotoPass One Day Pass for ¥288, which allows you to take photos with designated photographers around the park and download ride photos.I also checked the show schedule and selected which ones I wanted to see, as showtimes are fixed. I chose Mickey’s Storybook Adventure, Golden Fairytale Fanfare, Mickey’s Storybook Express, and ILLUMINATE! A Nighttime Celebration.Then I looked through the menu for dining options and chose Mickey & Pals Market Café, Barbossa’s Bounty, and Zootopia Market.Finally, I checked the wait times for rides on the app to decide if purchasing Disney Premier Access would be worthwhile.The VisitI arrived at the parking lot and walked about 20 minutes to the park entrance. There’s a Mickey fountain at the entrance. Security checks are similar to other Disney parks; selfie sticks and tripods are prohibited and must be left in lockers, while food and drinks are generally allowed.Entering the park is unique here—you scan your passport, which also serves as your park ticket. You’ll receive a paper ticket with a QR code for reservations, like the Standby Pass for Mickey’s Storybook Adventure. I reserved the 11:40 a.m. show.After entering, I visited Carefree Corner to confirm my Personalized Magical Photo Session, choosing the 4:00 p.m. slot. I then stopped by Avenue M Arcade to buy some Mickey ears for photos and queued up for Mickey’s Storybook Adventure at 10:40 a.m.ShowsMickey’s Storybook AdventureThis indoor show takes you through Disney stories with 23 characters. Mickey and Goofy discover a magic book, encountering Olaf, Baloo, King Louie, Moana, Mulan, and others along the way, with live music mainly in Chinese and some English songs.Golden Fairytale FanfareAn outdoor show in front of the Enchanted Storybook Castle featuring Snow White, Elsa, Anna, Jasmine, Aladdin, Ariel, Merida, and more, with English songs.Mickey’s Storybook ExpressA 14-minute character parade with numerous Disney favorites.ILLUMINATE! A Nighttime CelebrationA projection mapping show at the Enchanted Storybook Castle with fireworks, fountains, lasers, and Disney and Marvel characters.DiningMickey & Pals Market Café•	Ma La Tang Noodle Soup with Prawn and Beef (¥119) + Dumplings (¥30) - Spicy, tongue-tingling soup with beef slices and shrimp.•	Roasted Spring Chicken with Vegetables (¥129) - Sweet, roasted chicken with a tomato-edamame side.Barbossa’s Bounty•	Barbossa Feast for 2 (¥299) - Grilled squid, ribs, and chicken with two servings of rice; overall, it has a sweet flavor.Zootopia Market•	Disney Zootopia Pawpsicle (¥45) - A sweet and tangy fruit popsicle, perfect for a warm day.RidesPirates of the Caribbean Battle for the Sunken TreasureA boat ride through scenes from Pirates of the Caribbean, with forward, backward, and rotating movements. The visuals and sound effects are impressive, and there’s a small wave toward the end, but it’s not intense.Seven Dwarfs Mine TrainThis ride has a single rider lane, but wait times are similar to the main queue (~1 hour). I bought Disney Premier Access for ¥180, which saved a lot of time. The train takes you through the dwarves’ mine, providing mild thrills.Soaring Over the HorizonSimilar to Disney World and DisneySea, this flight simulation ride takes you over global landmarks with scents like grass and ocean waves for an immersive experience.TRON Lightcycle Power RunExperience riding a TRON motorcycle. You lean forward on the bike and hold onto handlebars, speeding along a thrilling track that’s still accessible for younger guests.Zootopia: Hot PursuitA trackless ride where you pursue runaway sheep from Zootopia. It’s fun, and the single rider line is very short, so I didn’t need to wait.Photo SessionAfter the parade at 3:30 p.m., I headed to Carefree Corner for my photo session. The photographer spoke Chinese, so I used Google Translate to communicate. I requested locations like Gardens of Imagination, Castle Area, Castle Balcony, and Zootopia, and we took photos throughout. With 30 minutes left, I requested to visit Treasure Cove. We wrapped up the session with 100 photos, which were available for download that evening. Note: photos must be downloaded within 90 days, or they’re deleted automatically.Overall, my day at Shanghai Disneyland was filled with memorable shows, tasty food, thrilling rides, and unique photo ops.",5.0,"The user visited Shanghai Disneyland and had a highly detailed and immersive experience. Prior to the visit, they downloaded the Shanghai Disney Resort app for various convenience features and booked a Personalized Magical Photo Session. The park entry system is unique, requiring a passport scan. Four different shows were attended, namely Mickey’s Storybook Adventure, Golden Fairytale Fanfare, Mickey’s Storybook Express, and ILLUMINATE! A Nighttime Celebration. They had meals at Mickey & Pals Market Café, Barbossa’s Bounty, and Zootopia Market. The rides they enjoyed include Pirates of the Caribbean Battle for the Sunken Treasure, Seven Dwarfs Mine Train, Soaring Over the Horizon, TRON Lightcycle Power Run, and Z"
"We have been to almost all Disneyland around the world and we can say that this is the only one which we enjoyed the most. We went there in mid October and it was amazing. The weather was good and it's not crowded at all during non-peak season. Disneyland Tokyo on the other hand is busy all year round.The park is clean and very well-maintained. Food and the souvenirs are so much cheaper as compared to the rest of the Disneyland. We were spoilt for choices with the wide selection of restaurants and cafes in Disneyland Village. The staff are friendly and most importantly, it's very safe. We can just leave our strollers at ease in the park.The park itself is of a great size and most of the rides are suitable for preschoolers. My daughter is 3 years old (less than 100cm) and there are still quite a few rides she can enjoy. On the other hand, my son who is 5 (110cm), can enjoy most of the rides. He was unable to access a few due to height restrictions.One day pass to Disneyland with DPA is doable during NON-PEAK season but I will still advise a two day pass for a more enjoyable experience.  We checked into the Toy Story Hotel the day before, which is of close proximity to the park so we can start the next day fresh at Disneyland. Staying at Toy Story Hotel or Disneyland Hotel has it's perks as their customers are able to access the park an hour earlier (7.30am) prior the opening hour (8.30am) but we did not utilise it at all. Just for your information, tickets prices from the hotels are the same as those we purchased from Disneyland app. We entered the park at around 11am on the first day and we were still able to complete the DPA (Disney Primer Access) x 11 rides on the first day. For the second day, we just targeted on those rides which we miss out on day one.Most of the rides only took about 15 - 20 minutes without the DPA access, with some of no queue at all. Only a few of the popular rides took about 45 - 60 minutes. We bought the DPA Deluxe Set of 11 before our trip. With this DPA set, we had a special entrance which led us right in front of the castle for the night illumination show, which we enjoyed a lot. It is a must watch at every Disneyland especially in Shanghai. In addition, I will also recommend Zootopia land as is one of our favourites! Overall, this is one of the best Disneyland experience we had. Highly recommended for everyone. :)",5.0,"The reviewer highly recommends this Disneyland location, describing it as the best one they have visited worldwide. They enjoyed the lack of crowds in mid-October and the cleanliness and maintenance of the park. The reviewer appreciated the value of the food and souvenirs and the diverse selection at various cafes and restaurants. They also noted the friendly staff and felt safe leaving their belongings around the park. They were pleased that the park's rides were suitable for their young children, although noted some height restrictions. The Toy Story Hotel, closely located to Disneyland was a convenient place to stay, offering early access benefits. The reviewer suggests purchasing a two-day pass for a more enjoyable, paced experience and purchasing the Disney Primer Access for a delightful night illumination show. They also recommended Z"
"We had purchased tickets in July in advanced and they were available from September 1 to December 19.We went on Monday 10/21/24 and went an hour before opening. They check bags and passports or Mainland China ID.I had mistyped my passport number, so we had to go to guest services to sort things out.We visited during Halloween Theme Park, and as one of my favorite holidays, it was the best theme to visit in my opinion.We had listed the Turkey Leg's on our must eats, but the shop opens at 11:00 am.We visited Soaring Over the Horizon because that is a perennial favorite at Shanghai Disneyland.What to packPassport or Chinese Mainland IDLayers, weather can change quickly so dress in layers.Hats, sunglasses, sunscreen etc.If you want to get dolled up as a character, they allow costumes but nothing to cover the faceSomething to sit on, when waiting for parades, or on very long linesWipes and hand sanitizer, when you are on line but don’t want to leave to use the restroomsWater bottlesSnacks, fruits, baked goods, chocolate, etc.Before you goCheck the Park attendance, we went on Monday, weekdays are better and cost is lower vs weekends and holidays.Download Alipay or WeChat and set up Alipay and/or WeChat pay for shopping.Download Shanghai Disney App. This app allows you to purchase tickets, register your ticket, and tells you the wait time in realtime for the rides and gives you a map as well as time for showsMake sure your Passport number matches exactly - mine didn't and we had a problem went to Guest ServicesDownload  a translation App that you can photograph and will translate for youMake reservations if you want to go to the Royal Banquet Hall for Character dining inside the park or Lumiere’s Kitchen at the Disneyland Hotel, outside the parkCheck the weather, bring umbrellas, ponchos, hoodie, rain coat, etc.Go over the attractions, foods, must do’s, and prepare your wish to do or eat listDon’t purchase large items until you want to leave, or there is a service to pick up items before you leave, but I haven’t used it due to not wanting to deal with the large group of people exiting the parkDon’t BringSelfie sticks, glass containers, alcoholTipsArrive 1 hour earlier",5.0,"The reviewer purchased tickets to a Halloween-themed event at Shanghai Disneyland and provided detailed advice for future visitors. They suggest guests arrive an hour before opening and be prepared for bag and ID checks at the entrance. They noted an error with their passport number required the help from guest services. Amenities enjoyed included Soaring Over the Horizon and Turkey Leg shop, though the latter opens at 11 am. 

The reviewer advises packing items such as ID, layers of clothing, hats, sunglasses, sunscreen, costumes that don't cover the face, something to sit on, wipes, hand sanitizer, water bottles, and snacks. 

Before visiting, the reviewer suggests checking park attendance and weather, downloading Alipay or WeChat for shopping, the Shanghai Disney App for real"
"I was super excited to visit Disneyland in Shanghai, and we changed our trip to stay in Shanghai for a couple days just to come see this place. As huge Disney fans and regulars at Disneyland in LA and disney world in florida, this would be a new experience. Ooph. What a mistake. We paid for the dream day package spending about 1200 us dollars on tickets to get fast passes. The people were rude and pushed you everywhere you went. People blatantly cut in lines. Tron ride had issues and I had to leave after already using my fast pass. They apologized and gave a coupon for use in the store. When trying to use said coupon it had a bunch of limitations and we ended up waiting in a huge line (I mean the lines in the stores put the US Disney to shame). Turned out the wait was for nothing. The rides were mostly geared towards kids despite almost no children being there. The fast pass system itself was more confusing than the US version (very impressive). I wish I could get a refund, I won't be back. If you're from the States, do yourself a favor. Go see the great wall instead. Avoid our mistake.",1.0,"The reviewer had high expectations for their visit to Disneyland in Shanghai, having adjusted their travel plans specifically to visit there. They are frequent visitors to Disneyland in LA and Disney World in Florida, and were eager to experience Shanghai's version. Unfortunately, the visit was a major disappointment for them. They noted issues like rude people, line-cutting, a malfunctioning ride and a confusing fast pass system. They spent $1200 on tickets for the ""dream day"" package but felt it wasn't worth it. They also received a coupon after a ride problem, but found it was full of limitations and led to a long wait. They observed the park was more child-oriented despite the absence of many kids, and the queues were even longer than those seen at"
"Shanghai Disneyland gave the best experience ever! So many different zones, themed rides, merch and food! Gave me such a good experience to never forget. The only thing was that the items were a bit on the expensive side because of copyright.",5.0,"The reviewer had an unforgettable experience at Shanghai Disneyland, praising its various themed zones, rides, merchandise, and food. However, they noted that the items were somewhat expensive due to copyright issues."
"We just had a fantastic day at Shanghai Disneyland with my wife and two kids, and while the experience was magical, there are definitely a few things you should know before you go!First off, I highly recommend getting the priority passes. The park is insanely popular in China, and if you visit on a weekend or public holiday, you’ll be in line for what feels like forever. Trust me, avoid those peak times if you can—it gets seriously packed.Before heading in, download the app. It’s super helpful for checking wait times, finding your way around, and even booking rides. Also, don't forget to bring your passport—you’ll need it to get your tickets. A big tip: bring a few water bottles. There are refill stations, which is a nice perk, and it helps save you from buying overpriced drinks. One more thing—bring some dry clothes! Some of the rides can get you wet, and being soggy for the rest of the day isn't fun.As for the rides, we loved the Tron roller coaster—it’s crazy fast and futuristic. The new Zootopia ride was also a huge hit with the kids. Seven Dwarfs Mine Train and Pirates of the Caribbean are classics, and the laser light show with fireworks was a great finale.Overall, we had a blast. Just plan ahead, go on a quieter day, and make sure you’re prepared with these little tips. Highly recommend it for families!",5.0,"The user had a wonderful experience at Shanghai Disneyland with their family. They heavily recommend getting priority passes due to the park's popularity causing long lines especially during weekends and public holidays. The use of the park's app for navigation and ride bookings, as well as bringing a passport, water bottles, and dry clothes, were beneficial tips given. They enjoyed the Tron roller coaster, Zootopia ride, Seven Dwarfs Mine Train, and Pirates of the Caribbean, and found the laser light show with fireworks a great end to the day. They highly recommend the park for families but suggest planning ahead and visiting on quieter days."
"WHEN:Visited on the last Sunday of China's summer school holidays.Still crowded, but a lot better than during summer holidays itself.Thought it was weird that it was still very hot for the start of fall, but thankful that we didn't get caught in the strongest storm to hit Shanghai in 70 years just a week later!ZOOTOPIA:Shanghai Disneyland is the first in the world to get this land opened in 2023 while the rest of the world gotta wait till 2025 for it. They built almost the exact replica of what you see in the movies - super cute to see the tall, tall giraffes working out alongside the lemmings spinning their balls to work in the hamster tubes. The various zones of Tundratown (freezing!), Sahara Square (with fake camel ""Gurlzelle""), Rainforest District's gondolas and even a ""Tiger NightClub"" were portrayed extremely well in both the land and its immersive rides!RIDES:For those who'd been to other Disneylands, the most unique here are Zootopia's ""Hot Pursuit"" and Tomorrowland's TRON Lightcycle, since they are both unavailable in any other Disneylands. Pirates of the Caribbean in most other Disneylands are getting a little boring with short queues, but you'll find the one here WAY cooler because of its much newer technology. Camp Discovery is unique because it ain't a ride, it's an obstacle course where you get to ""climb"" up/through some rock/cave/waterfall of Adventure Isle while being harnessed and tethered. The most underwhelming was Pooh's ride which was a lot shorter and two-dimensional than the one we rode at other Disneylands.SHOWS:Pirates of the Caribbean is probably the best if you fancy some choreographed stunts and  acrobatics; Elsa's still the perennial favourite and Stitch Encounter was funny for both kids and adults, but you gotta understand Mandarin.DPAs/single Riders/walking/Meet&Greet:- Disney Premier Access are available individually, but also in sets. We got all:DPA Inspiration set of SIX rides @ 815rmbDPA Adventure set of SIX rides @ 815rmbDPA FOUR shows (Pirates, Elsa, Storybook, Adventure Rhythm NEW) @ 720rmbThat's the only way to finish most rides and shows in one day @ ~320usd/pax.- When we saw some single rider queues @ 40 minutes, we knew the DPA was worth it.- If you flew many hours to get here, it's probably worth it to pay 320usd more to NOT queue and jostle, and mostly, to be kind to your legs because this park is HUGE!- There was no time for Meet&Greet if you want to finish all rides & shows in a day. Also, we honestly found those at Hong Kong Disneyland nicer and MORE available.SPECIAL NOTES for DPA:- Definitely need your phone to scan TWICE for every DPA entry;- Some rides' DPA don't go all the way to the ride, still gotta join last bits of the queue (perhaps that's how you still can appreciate some of the decor at the queue?);- DPAs for shows means they let you in 15 minutes before show starts. They'll let everyone else in 10 minutes before show starts. DO NOT MAKE OUR SAME MISTAKE by booking two shows back to back... you might just miss the DPA of your next show if you do not arrive early enough. They don't do seat reservations here for DPA-holders like in Tokyo Disneyland.COMPARING TO UNIVERSAL STUDIOS BEIJING:- We visited Universal Studios in Beijing next since it's only a three-hour flight away.- While Disney magic and their unforgettable characters are priceless, and one could tell that a lot more effort went into their overall decor, shows and even service...- Would say we had a much more relaxing and cheaper time at Universal Studios Beijing. They are also newer and have some really cool rides i.e. Jurassic!!",4.0,"The reviewer visited Shanghai Disneyland on the last Sunday of China's summer school holidays. They remarked on the crowds but appreciated missing a significant storm. The new Zootopia area was praised for being a faithful replication of the movie scenes, and the unique rides like 'Hot Pursuit' and 'Tomorrowland's TRON Lightcycle' were highlighted as exclusive attractions. In comparison to other Disneylands, the Pirates of the Caribbean ride was noted for its advanced technology. However, Pooh's ride was considered subpar. The Pirates of the Caribbean show was the reviewer's favorite, while Elsa's show remained a classic hit and Stitch Encounter appealed to both kids and adults, provided one understands Mandarin. They highly recommended the Disney Premier Access (DPA) passes"
We was pleasantly surprised at this Disney park. The ticket prices were fairly reasonable for Disney and we went during a quieter period which meant was easy to go on rides with no queues! Actually managed to go on Tron multiple times. The pirates of the Caribbean ride was also one of the best we have seen and there is also a new Zootopia area. They had multiple parades throughout the day which all the popular character were in. Food here was fairly average and highly priced. The fireworks here was one of the best of any Disney parks especially the Marvel section. (Must see!),5.0,"The user had a positive experience at the Disney park, appreciating the reasonable ticket prices and the fact that going during a quieter period let them enjoy multiple rides without waiting in lines. They especially liked the Tron ride and the Pirates of the Caribbean ride, and mentioned the addition of a new Zootopia section. The park had numerous parades featuring popular characters throughout the day. The user found the food to be average and pricey. However, they were very impressed with the fireworks, particularly the Marvel segment, which they highly recommend."
"Crowdonly able to squeeze into 2-3 ride, a pity but the experience was perfect.The serviceGreat service as usual. The staff was patient. They even gave us some sticker, which were so cute! (see photos)Food and snackThe snack was delicious but overpriced and portion was a small. The food in the restaurant were not very ok, however, very expensive.A pityThere were many people in the Zootopia. Not a chance to go there at all.",4.0,"The review expresses satisfaction with the overall experience and excellent service, including patient staff and cute free stickers. However, the reviewer felt the snacks were tasty but overpriced and small in portion. They found the food in the restaurant mediocre and too expensive. They also noted disappointment about the crowd at Zootopia, which prevented them from visiting."
"Quite underwhelmed. My mam and dad wanted to go during their visit to China because they had never been to Disney land. Me and my wife were reluctant as our baby is 1.4 yrs old, and wondered who it would really be for, cause it ainâ€™t for us. They insisted it would be fun and even the baby would love it.I was reluctant but I thought, well itâ€™s supposed to be world class isnâ€™t it. Even if the queues for the rides are preposterously long, they must have sufficient entertainment for even the adults I guess. Wrong. Aside from the morning parade which was legit cool, the rest was just rides and visual things to look at, or super expressive consumerist experiences in the shops. The rides are not even that special or enticing to me, Iâ€™ve been in a few theme parks and even the just ok rides would have you waiting an hour to an hour and a half. Thatâ€™s about a third or a quarter of the time youâ€™d spend out and about, after you omit your meals. Just bad value.I really thought thereâ€™d be magical entertainment all over, like how in the fringe fest in Edinburgh, when you walk around thereâ€™s street acts and an electric vibe. Nothing really here though except walking around at the impressive areas they created. Although those areas are visually impressive, the main thing to do it seems is go to the rides. But the wait makes it impractical and miserable. Unless you wanna go on the equivalent to the teacupsâ€¦ then good for you only 20m wait.People spend a lot of time waiting to queue just for a photo with a character. We waited half an hour just to get the baby in a photo with Mickey Mouse and I just thought this is all just a big charade isnâ€™t it. I mean why not just have a few Mickey Mouseâ€™s and other big characters wondering round the park? Why just have one and make a big deal of this mere photo opportunity, put him in a big special building for this purpose and then make you wait all that time. Why so orchestrated?I thought I might see some tricks and fun things in the streets as I walked around but I didnâ€™t. I think sometimes people pay a lot for things and then become invested so they say things were good cause they donâ€™t wanna admit they wasted money on a bad idea or that the ideas they have for passing time are actually rubbish ðŸ˜‚Finally, I didnâ€™t see anything that was very entertaining for such young babies. Like a baby play area or anything like that. It may be a bit much to expect them to cater in this regard but, who are they catering to currently? I didnâ€™t feel like it was me, and it wasnâ€™t for the babyâ€¦ so just kids? Well it doesnâ€™t have to be that way. Put on more entertainment, shows, street tricks, activities",2.0,"The reviewer was disappointed with their visit to Disneyland in China. They found the entertainment to be insufficient, with long queues incompatible with the value delivered by the rides. They were expecting more of an electric vibe with street acts and found the focus mainly on rides that involved substantial waiting times. The reviewer also criticized the orchestrated photo opportunity with characters like Mickey Mouse which also involved a lengthy wait, suggesting that characters should roam around the park instead. They also mentioned a lack of facilities for very young children and suggested Disneyland should diversify its entertainment to cater beyond just kids."
"Rubbish customer service, brought the wrong size at closing time rushing for the last train at night. Went back next day to exchange and was told by a member of staff I had to buy the correct size then go to the refund desk to get a refund. After the queuing up got to told I can't refund it as I had got free gifts when I had originally purchased a lot of items the day before and to get a refund I would have to give them the gifts back. All I wanted was to change the item to correct size. Supervisor came out and started to raise her voice and told me to go find her colleague who told us we could do this. Bare in mind this place is huge. She then shoved the back of the receipt in my face and shouted at us ( we have 3 kids, in Disneyland) saying it's in Chinese and English in her broken English. I had to walk out really frustrated and angry. The lack of customer relations is ridiculous, they are definitely better Disney parks than this one. We weren't trying to con them, al I wanted was the correct size for my son. Avoid Avoid Avoid.",1.0,"The review is overall negative, expressing frustration with the customer service. The reviewer bought the wrong size item in a hurry and tried to exchange it the next day, but was told they would have to buy the correct size first and then get a refund. They also encountered issues with a free gift that came with the original purchase, which the store wanted back in order to process the refund. The reviewer found the staff to be unhelpful and rude, especially a supervisor who raised her voice and was difficult to understand. The reviewer also mentioned the size of the store as an issue, felt wronged, and warns future customers to avoid this Disneyland store."
"I was super thrilled to see the first time Disneyland. It is really huge  and have variety of attractions. However, waiting for one ride can take from 1-2 hours. All day i had only 6-7 rides, when i could have more than that. Food is also little pricey. However, I enjoyed walking around and to be spectator of wonderful fireworks.",4.0,"The reviewer expressed great excitement about their first visit to Disneyland, praising its sizable area and diverse attractions. However, they were disappointed by the long waiting times for rides (1-2 hours), which resulted in them only experiencing 6-7 attractions throughout the day. They also commented that food prices were high. Despite these issues, they enjoyed strolling around the park and watching the impressive fireworks display."
"overall the experience was good. lets start from the advantages, the staff member was polite, we had a lot of fun there. but it's not recommended with no fast pass, especially the ones who wanna play the popular rides like the Tron rollercoaster (we bought one), if you wanna get to play all rides or at least half of them, a fast pass could help a lot. the average queue time for a ride could take an hour or more. Since we went in Wednesday there's not a lot of people, but sure there might be MASSVE amount of people in the summer break or other holidays.",4.0,"The reviewer had a good overall experience. They praised the polite staff and enjoyed the fun atmosphere. However, they do not recommend visiting without a fast pass, especially for popular rides like the Tron rollercoaster. To enjoy all or at least half of the rides, a fast pass is advised. The average waiting time for rides can exceed an hour. The reviewer visited on a Wednesday when it was less crowded but expects it could be extremely busy during summer breaks or holidays."
We came here straight after Paris Disney which we rated highly. Sadly July is a no to visit this place. It was local school holidays and we went on a Monday. The heat and lack of shade and indoor eating areas did us in. The lines and entrance confusion was a bad start but then the absence of shade in 39 degree heat was a no go. We did two rides and had to leave when we lined up for 40 minutes just to get into a place to eat only to then have to search for a table - after looking for a table for 20 minutes we headed home.,2.0,"The reviewer had a disappointing experience visiting an unspecified location in July, during local school holidays. The place was extremely crowded and the entry process was confusing. There was a lack of indoor eating areas and shade, which made the visit uncomfortable in the 39-degree heat. Long queuing times, both for rides and restaurants, made the experience even worse and led to them leaving early."
"The walk to the entrance if by tour bus is half an hour. Once you get to the gate area, there's so many zigzag barriers that even on a not so busy day, you have to walk round and round on what otherwise would only be a few steps without the barriers.This is the first Disneyland I've been to where you're allowed to bring in food.Rides and queues inside are otherwise orderly.  I only saw 3 people spitting on the ground (I was expecting more).  A few people were smoking outside the designated smoking areas.We spent 2 days here.  This can actually be experienced in a day.",4.0,"The reviewer highlights that getting to the park's entrance can be a bit lengthy if traveling by tour bus, taking around half an hour. The park's entrance layout includes many zigzag barriers which add unnecessary distance, even on quieter days. They also mention that contrary to other Disneyland locations, you can bring in your own food. Rides and queues are organized and relatively clean, with only a few instances of inappropriate behavior like spitting and smoking observed. Despite spending 2 days, the reviewer believes that the park can be fully experienced within a single day."
A below average Disneyland experience despite excellent hardware. I had fast pass to save time but still felt like I was a semi-finished good in a conveyance belt. My feeling is that 50% of the staffs didnâ€™t make guests feel welcoming and 70% has no smile on their face.Personally I disliked most is smoking. Itâ€™s not uncommon to see people smoking in non-smoking areas and the staffs appeared that they didnâ€™t care. This is extremely disturbing for a non-smoker like myself,3.0,"The reviewer had an unsatisfying experience at Disneyland, despite using a fast pass to expedite queue times. They found the staff unwelcoming, with a majority not smiling or engaging positively with guests. The reviewer was also annoyed by the widespread smoking in non-smoking areas, which was not addressed by staff, creating an uncomfortable environment for them as a non-smoker."
"It was rainy, hot, and humid so I wouldn't recommend going in June. BUT the air conditioning was excellent once you got into buildings. The Zootopia area is incredible and so cute! I also loved the Jack Sparrow ride and stunt show. So amazing! This is a wonderful park. Loved it!",5.0,"The reviewer had a mixed experience due to rainy, hot and humid weather in June, however, they enjoyed the excellent air conditioning inside the buildings. Highlights included the ""incredible"" Zootopia area, the Jack Sparrow ride and stunt show, which they found amazing. Despite the weather, they considered the park wonderful and loved their visit."
Good  but was quite disappointed with the handling of the queues for the shows by the staff and the waiting period was terrible. People were cutting lies trying to go over you and the entertainment shows were hardly 15 minutes. I would give it an average and Please note that seating areas to rest yourself are very limited. During peak hours it's a really killer. Dining was average to but there was a really good pastry shop in mickeys downtown. There were too many characters as well.  Shopping was excellent bur crowd control could be managed better.,3.0,"The reviewer had a mixed experience. They were disappointed with the handling of queues for shows and the long waiting periods, expressing dissatisfaction with the short duration of entertainment shows. They noted that seating areas were limited especially during peak hours and found dining average. They enjoyed a good pastry shop in Mickey's downtown but felt there were too many characters. They appreciated the shopping experience but felt crowd control could have been better managed. Overall, they rated the experience as average."
"Get harassed by all the illegal toads right infront of the Disney entrance, inside Disney and upon exit to try sell you all toys, service,etc. Super irritating.The working Crew are a huge turn off during our entry and during the games. Most of the staffs mostly dont live up to Disney name. They are rude and unhelpful. If you speak foreign lauggage here then good luck to you..I keep seing people either fight, quarrel or police came to escort people out from the park. Disaster.... this will be my first and last to visit the Shanghai Disney. Will not recommend anyone here unless you just wanna come here for Instagram than to enjoy a real theme park ride.",1.0,"The reviewer had a negative experience at Shanghai Disney due to aggressive vendors outside and inside the entrance. They were disappointed with the staff, who they found to be rude and unhelpful, especially towards those speaking foreign languages. They also noted frequent disturbances, such as fights and police interventions. They would not recommend visiting Shanghai Disney unless it was merely for Instagram photos and not for an enjoyable theme park experience. This was their first and will be their last visit to the park."
"We went on a non holiday week day in June, but the lines are too long. Even to just to get into the park took nearly 40 mins. You can buy speed pass (180 Yuan per person per ride). For a family of 3, you can end up spending a lot of money or wait >1 hour for each ride. Overall I would say it would say it is not worth going. My child had more fun at the Shanghai aquarium.",2.0,"The reviewer visited a park during a non-holiday weekday in June and found the lines extremely long, with a wait time of approximately 40 minutes merely to enter the park. They suggest that while speed passes are available at 180 Yuan per ride, it led to high expenses for their family of three. They found the park not worth the visit, mentioning that their child enjoyed their trip to the Shanghai aquarium more."
"My recent experience at Shanghai Disneyland left me deeply disappointed and frustrated due to several concerning issues that significantly marred what should have been a magical visit.Secondhand Smoke Everywhere: Despite designated smoking zones, the park is overrun with inconsiderate visitors who openly smoke wherever they please, subjecting everyone, especially children, to the dangers of secondhand smoke. This blatant disregard for the rules and lack of courtesy from some Chinese guests made navigating the park a challenge and significantly impacted our enjoyment.Illegal Peddlers: Shockingly, just outside the Disney shops, illegal peddlers openly sell Disney merchandise, directly undermining the integrity of the park's retail experience. It's incomprehensible how Disney allows such activities to persist, tarnishing the authenticity and trust associated with its brand.Annual Pass Holder Abuse: Throughout the park, we encountered aggressive annual pass holders exploiting their privileges to engage in unlawful behavior. These individuals relentlessly pestered guests to purchase Disney merchandise through them, falsely promising discounts and circumventing proper queues. It became evident that they were exploiting their pass holder status to undercut Disney, all in pursuit of personal gain and the advancement of their membership tiers.Overall, my visit to Shanghai Disneyland was marred by these unacceptable issues, detracting from what should have been a magical experience. It's disheartening to witness such blatant disregard for rules and ethics within the confines of a place meant to inspire joy and wonder. I sincerely hope that management takes swift and decisive action to address these issues and uphold the standards of excellence that Disney is known for.",1.0,"The review describes a disappointing and frustrating experience at Shanghai Disneyland due to instances of rule-breaking and unethical behavior. The issues mentioned include rampant smoking outside of designated areas, illegal vendors selling Disney merchandise outside official shops and aggressive annual pass holders exploiting their privileges for personal gain. These situations contributed to a poor visit and the reviewer urges the management to take action."
The park is awesome like all disney parks. But even on a weekday its too tooo tooo crowded. You end up waiting 40 mins for one ride. Try and book fast track if available and just avoid weekends. Access is also easy by metro and car.,4.0,"The reviewer loves the park, noting it's as fantastic as other Disney parks. However, they report that it's extremely crowded even on weekdays, causing long wait times for rides. They suggest booking fast track tickets if possible and avoiding weekends. They also note that the park is easily accessible by metro and car."
"We visited during a Chinese school holiday, which meant it was very crowded and the queues very long. Food and drink was expensive, For example, Â£6.00 for a pineapple flavoured ice cream cone.A bit of a faff organising admission passes and fast passes and you must take your passport.We quite enjoyed the visit and obviously, being Disney there is plenty to see , to do and it is pleasant to walk around. At nighttime the best viewing areas get extremely crowded, so find a good spot early and hang on to it.",4.0,"The reviewer visited during a Chinese school holiday, which resulted in significant crowds and long queues. They found food and drinks pricey, highlighted by the £6.00 pineapple flavored ice cream. The process of organizing admission and fast passes was a bit inconvenient, requiring passports. Despite these issues, they enjoyed the visit due to the variety of Disney attractions and pleasant walking areas. However, they advised that the best viewing areas at night get extremely crowded and recommend securing a good spot early."
